,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 4 SGPA,SEM 5 SGPA,SEM 6 SGPA,SEM 7 SGPA,SEM 8 SGPA,Label,Hour_per_week_wriassignment,time_to_reach college,Average attendence,Internet at home,2 hr straight lecture,submission on time,"Five lecture straight,woulf you attend all?","Five hr practical staight,do you attend all",Feedback of teacher,preffered transportatin to college,Enrolled to coaching class
26,0,7.6,0,7.8,7.5,7.6,7.4,7.9,1,3,0,3,1,0,1,1,0,20,2,0
108,0,8.5,0,8.3,8.5,7.4,6.0,7.0,1,2,2,2,1,0,1,0,1,21,1,0
229,1,4.6,1,3.8,4.78,4.58,4.78,3.5,2,2,0,4,1,0,1,0,0,3,1,0
177,1,4.95,1,4.37,4.11,4.36,4.65,3.56,2,2,2,4,1,0,0,0,0,16,2,0
93,0,7.93,0,8.0,7.14,6.9,7.1,9.18,1,0,2,2,1,0,0,0,1,26,1,1
131,0,9.13,0,8.9,8.2,6.7,8.3,6.8,1,0,2,3,1,1,1,1,1,23,2,0
244,1,3.7,1,4.2,4.87,4.22,4.9,4.27,2,2,2,4,1,0,0,0,0,3,0,0
113,1,8.41,2,6.2,7.5,8.6,8.0,7.1,1,0,0,2,1,0,0,0,1,10,2,0
222,2,4.3,3,3.1,4.36,3.2,4.36,3.45,2,2,2,4,1,0,1,0,0,17,2,0
245,1,3.9,3,4.1,4.23,4.69,3.5,4.96,2,2,0,4,1,0,1,0,0,19,2,0
193,3,3.8,2,3.7,4.32,4.2,4.64,4.95,2,2,2,4,1,0,0,0,0,7,2,0
153,0,6.23,0,5.7,6.5,6.3,6.1,5.3,1,0,1,3,1,1,1,1,1,6,2,0
67,0,7.2,0,7.1,7.3,7.5,7.1,7.7,1,2,0,2,1,1,1,1,1,20,2,0
145,0,7.85,0,6.68,7.12,8.12,7.28,7.9,1,2,0,1,1,0,0,1,1,10,2,0
78,0,7.93,0,8.1,8.3,8.2,8.4,8.1,1,2,2,2,1,1,1,1,1,11,1,0
16,1,5.7,1,5.7,5.1,5.2,5.6,5.9,1,0,1,2,1,0,1,1,0,26,1,0
136,2,5.8,2,5.2,5.5,7.3,5.2,7.3,1,0,2,0,1,0,1,0,0,26,1,0
197,2,4.1,1,3.7,3.69,3.4,3.9,4.2,2,2,1,4,1,0,0,0,0,1,0,0
165,1,4.82,2,4.9,4.44,4.24,4.76,3.9,2,2,2,1,1,0,0,0,0,16,2,1
190,3,3.9,2,3.8,3.89,4.6,3.73,4.59,2,2,2,4,1,0,1,0,0,2,2,0
87,0,8.2,0,8.3,8.5,8.4,9.24,9.0,1,2,2,2,1,0,1,0,1,6,1,0
119,0,8.43,0,6.5,7.3,8.4,8.1,8.9,1,0,0,4,1,0,0,0,0,22,0,0
2,0,6.09,0,7.1,6.1,6.3,6.7,6.7,1,1,2,2,1,1,1,1,1,14,1,0
49,0,7.0,0,6.4,7.02,8.17,8.6,8.5,1,0,1,1,1,0,1,0,1,22,2,0
175,2,4.65,2,4.21,4.27,4.66,4.25,4.8,2,2,0,0,1,0,1,0,0,1,2,0
80,0,9.4,0,8.6,8.6,8.3,7.9,8.5,1,1,2,0,0,0,0,0,0,22,1,0
